,Cust_ID,Event_CreatT,Event_ExpireT,Stat_ID,Status,t
0,CUST33,2021-05-15 23:36:28,2021-05-16 00:15:28,BSG_CUST33,unsuccessful reservation,0 days 00:39:00
1,CUST19,2021-05-18 11:33:40,2021-05-18 12:04:40,BSG_CUST19,unsuccessful reservation,0 days 00:31:00
2,CUST32,2021-05-18 06:54:40,2021-05-18 07:18:40,BSG_CUST32,unsuccessful reservation,0 days 00:24:00
3,CUST19,2021-05-18 04:26:37,2021-05-18 04:53:37,BSG_CUST19,unsuccessful reservation,0 days 00:27:00
4,CUST34,2021-05-15 15:48:12,2021-05-15 16:16:12,BSG_CUST34,unsuccessful reservation,0 days 00:28:00
5,CUST22,2021-05-15 01:23:59,2021-05-15 01:41:59,BSG_CUST22,successful,0 days 00:18:00
6,CUST31,2021-05-16 23:42:13,2021-05-17 00:02:13,BSG_CUST31,successful,0 days 00:20:00
7,CUST19,2021-05-15 12:31:46,2021-05-15 13:09:46,BSG_CUST19,unsuccessful reservation,0 days 00:38:00
8,CUST21,2021-05-18 20:54:47,2021-05-18 21:03:47,BSG_CUST21,unsuccessful reservation,0 days 00:09:00
9,CUST24,2021-05-17 11:36:34,2021-05-17 12:07:34,BSG_CUST24,unsuccessful reservation,0 days 00:31:00
10,CUST25,2021-05-15 19:44:40,2021-05-15 19:57:40,BSG_CUST25,unsuccessful reservation,0 days 00:13:00
11,CUST34,2021-05-17 18:58:54,2021-05-17 19:21:54,BSG_CUST34,successful,0 days 00:23:00
12,CUST16,2021-05-18 04:05:03,2021-05-18 04:30:03,BSG_CUST16,unsuccessful reservation,0 days 00:25:00
13,CUST27,2021-05-16 18:25:41,2021-05-16 19:01:41,BSG_CUST27,unsuccessful reservation,0 days 00:36:00
14,CUST19,2021-05-17 01:24:24,2021-05-17 01:55:24,BSG_CUST19,successful,0 days 00:31:00
15,CUST16,2021-05-17 18:22:53,2021-05-17 18:29:53,BSG_CUST16,successful,0 days 00:07:00
16,CUST24,2021-05-16 13:17:47,2021-05-16 13:33:47,BSG_CUST24,successful,0 days 00:16:00
17,CUST34,2021-05-15 03:01:29,2021-05-15 03:21:29,BSG_CUST34,successful,0 days 00:20:00
18,CUST31,2021-05-17 18:19:24,2021-05-17 18:55:24,BSG_CUST31,successful,0 days 00:36:00
19,CUST31,2021-05-18 18:16:34,2021-05-18 18:51:34,BSG_CUST31,unsuccessful reservation,0 days 00:35:00
20,CUST27,2021-05-17 19:57:06,2021-05-17 20:15:06,BSG_CUST27,successful,0 days 00:18:00
21,CUST20,2021-05-17 18:07:25,2021-05-17 18:46:25,BSG_CUST20,unsuccessful reservation,0 days 00:39:00
22,CUST30,2021-05-16 03:30:11,2021-05-16 03:59:11,BSG_CUST30,unsuccessful reservation,0 days 00:29:00
23,CUST21,2021-05-16 17:23:52,2021-05-16 17:59:52,BSG_CUST21,unsuccessful reservation,0 days 00:36:00
24,CUST33,2021-05-18 06:21:38,2021-05-18 06:34:38,BSG_CUST33,successful,0 days 00:13:00
25,CUST20,2021-05-18 18:29:48,2021-05-18 19:03:48,BSG_CUST20,successful,0 days 00:34:00
26,CUST23,2021-05-16 13:20:52,2021-05-16 13:36:52,BSG_CUST23,successful,0 days 00:16:00
27,CUST34,2021-05-15 03:38:27,2021-05-15 04:00:27,BSG_CUST34,unsuccessful reservation,0 days 00:22:00
28,CUST22,2021-05-17 11:24:25,2021-05-17 11:55:25,BSG_CUST22,unsuccessful reservation,0 days 00:31:00
29,CUST34,2021-05-17 03:39:05,2021-05-17 04:00:05,BSG_CUST34,successful,0 days 00:21:00
30,CUST20,2021-05-17 13:49:00,2021-05-17 14:03:00,BSG_CUST20,unsuccessful reservation,0 days 00:14:00
31,CUST22,2021-05-17 15:58:51,2021-05-17 16:24:51,BSG_CUST22,successful,0 days 00:26:00
32,CUST30,2021-05-18 13:56:40,2021-05-18 14:24:40,BSG_CUST30,successful,0 days 00:28:00
33,CUST18,2021-05-18 11:44:40,2021-05-18 12:23:40,BSG_CUST18,successful,0 days 00:39:00
34,CUST25,2021-05-17 13:56:27,2021-05-17 14:12:27,BSG_CUST25,unsuccessful reservation,0 days 00:16:00
35,CUST31,2021-05-15 07:51:35,2021-05-15 08:29:35,BSG_CUST31,successful,0 days 00:38:00
36,CUST21,2021-05-17 08:31:02,2021-05-17 08:46:02,BSG_CUST21,successful,0 days 00:15:00
37,CUST25,2021-05-16 09:33:34,2021-05-16 09:57:34,BSG_CUST25,successful,0 days 00:24:00
38,CUST20,2021-05-16 17:38:50,2021-05-16 18:06:50,BSG_CUST20,successful,0 days 00:28:00
39,CUST22,2021-05-17 14:27:15,2021-05-17 15:01:15,BSG_CUST22,successful,0 days 00:34:00
40,CUST34,2021-05-16 08:34:48,2021-05-16 08:46:48,BSG_CUST34,successful,0 days 00:12:00
41,CUST17,2021-05-15 11:46:03,2021-05-15 12:17:03,BSG_CUST17,unsuccessful reservation,0 days 00:31:00
42,CUST22,2021-05-15 22:20:22,2021-05-15 22:56:22,BSG_CUST22,successful,0 days 00:36:00
43,CUST18,2021-05-15 00:42:23,2021-05-15 01:09:23,BSG_CUST18,unsuccessful reservation,0 days 00:27:00
