,Cust_ID,Event_CreatT,Event_ExpireT,Stat_ID,Status,t
0,CUST12,2023-05-18 07:33:57,2023-05-18 07:59:57,BSG_236,successful,0 days 00:26:00
1,CUST9,2023-05-18 12:26:14,2023-05-18 13:01:14,BSG_327,unsuccessful reservation,0 days 00:35:00
2,CUST2,2023-05-18 09:25:11,2023-05-18 09:56:11,BSG_77,unsuccessful reservation,0 days 00:31:00
3,CUST1,2023-05-18 06:21:54,2023-05-18 06:56:54,BSG_84,unsuccessful reservation,0 days 00:35:00
4,CUST4,2023-05-18 01:23:44,2023-05-18 01:31:44,BSG_63,unsuccessful reservation,0 days 00:08:00
5,CUST5,2023-05-18 10:09:24,2023-05-18 10:49:24,BSG_344,unsuccessful reservation,0 days 00:40:00
6,CUST13,2023-05-18 08:29:39,2023-05-18 08:48:39,BSG_13,unsuccessful reservation,0 days 00:19:00
7,CUST3,2023-05-18 20:21:54,2023-05-18 20:48:54,BSG_232,successful,0 days 00:27:00
8,CUST9,2023-05-18 06:53:08,2023-05-18 07:06:08,BSG_35,unsuccessful reservation,0 days 00:13:00
9,CUST5,2023-05-18 09:55:38,2023-05-18 10:18:38,BSG_306,successful,0 days 00:23:00
10,CUST16,2023-05-18 22:31:37,2023-05-18 23:10:37,BSG_270,successful,0 days 00:39:00
11,CUST8,2023-05-18 13:54:19,2023-05-18 13:59:19,BSG_88,successful,0 days 00:05:00
12,CUST5,2023-05-18 13:49:48,2023-05-18 14:15:48,BSG_29,successful,0 days 00:26:00
13,CUST7,2023-05-18 05:02:06,2023-05-18 05:33:06,BSG_280,successful,0 days 00:31:00
14,CUST6,2023-05-18 07:00:47,2023-05-18 07:34:47,BSG_89,unsuccessful reservation,0 days 00:34:00
15,CUST5,2023-05-18 20:06:36,2023-05-18 20:43:36,BSG_188,successful,0 days 00:37:00
16,CUST12,2023-05-18 06:02:34,2023-05-18 06:34:34,BSG_270,unsuccessful reservation,0 days 00:32:00
17,CUST8,2023-05-18 17:24:28,2023-05-18 17:54:28,BSG_338,successful,0 days 00:30:00
18,CUST5,2023-05-18 08:12:34,2023-05-18 08:22:34,BSG_194,unsuccessful reservation,0 days 00:10:00
19,CUST4,2023-05-18 11:56:23,2023-05-18 12:35:23,BSG_221,successful,0 days 00:39:00
20,CUST10,2023-05-18 12:45:57,2023-05-18 13:02:57,BSG_186,successful,0 days 00:17:00
21,CUST10,2023-05-18 10:41:53,2023-05-18 11:19:53,BSG_182,unsuccessful reservation,0 days 00:38:00
22,CUST5,2023-05-18 07:07:18,2023-05-18 07:34:18,BSG_177,successful,0 days 00:27:00
23,CUST4,2023-05-18 16:43:12,2023-05-18 17:06:12,BSG_161,successful,0 days 00:23:00
24,CUST14,2023-05-18 15:26:01,2023-05-18 16:06:01,BSG_234,successful,0 days 00:40:00
25,CUST12,2023-05-18 22:59:02,2023-05-18 23:27:02,BSG_338,unsuccessful reservation,0 days 00:28:00
26,CUST1,2023-05-18 23:22:26,2023-05-18 23:46:26,BSG_127,successful,0 days 00:24:00
27,CUST8,2023-05-18 21:57:37,2023-05-18 22:30:37,BSG_21,unsuccessful reservation,0 days 00:33:00
28,CUST9,2023-05-18 06:35:44,2023-05-18 06:46:44,BSG_160,successful,0 days 00:11:00
29,CUST5,2023-05-18 08:46:12,2023-05-18 09:13:12,BSG_55,successful,0 days 00:27:00
30,CUST14,2023-05-18 16:53:32,2023-05-18 17:16:32,BSG_49,unsuccessful reservation,0 days 00:23:00
31,CUST14,2023-05-18 10:55:51,2023-05-18 11:24:51,BSG_188,unsuccessful reservation,0 days 00:29:00
32,CUST15,2023-05-18 23:08:21,2023-05-18 23:19:21,BSG_99,successful,0 days 00:11:00
33,CUST14,2023-05-18 04:38:35,2023-05-18 04:48:35,BSG_140,successful,0 days 00:10:00
34,CUST16,2023-05-18 07:31:57,2023-05-18 07:49:57,BSG_253,successful,0 days 00:18:00
35,CUST3,2023-05-18 23:54:08,2023-05-19 00:21:08,BSG_26,unsuccessful reservation,0 days 00:27:00
36,CUST5,2023-05-18 18:52:17,2023-05-18 19:09:17,BSG_208,unsuccessful reservation,0 days 00:17:00
37,CUST16,2023-05-18 16:16:23,2023-05-18 16:35:23,BSG_287,unsuccessful reservation,0 days 00:19:00
38,CUST14,2023-05-18 11:12:59,2023-05-18 11:20:59,BSG_59,unsuccessful reservation,0 days 00:08:00
39,CUST14,2023-05-18 11:37:59,2023-05-18 12:06:59,BSG_86,successful,0 days 00:29:00
40,CUST1,2023-05-18 20:59:10,2023-05-18 21:25:10,BSG_56,successful,0 days 00:26:00
41,CUST10,2023-05-18 00:28:39,2023-05-18 01:01:39,BSG_66,unsuccessful reservation,0 days 00:33:00
42,CUST1,2023-05-18 02:29:23,2023-05-18 02:57:23,BSG_73,unsuccessful reservation,0 days 00:28:00
43,CUST8,2023-05-18 14:56:24,2023-05-18 15:07:24,BSG_118,unsuccessful reservation,0 days 00:11:00
44,CUST9,2023-05-18 09:20:38,2023-05-18 09:30:38,BSG_146,unsuccessful reservation,0 days 00:10:00
45,CUST12,2023-05-18 07:49:24,2023-05-18 08:21:24,BSG_284,successful,0 days 00:32:00
46,CUST3,2023-05-18 09:26:24,2023-05-18 09:33:24,BSG_177,successful,0 days 00:07:00
47,CUST14,2023-05-18 10:16:28,2023-05-18 10:38:28,BSG_231,successful,0 days 00:22:00
48,CUST14,2023-05-18 09:27:43,2023-05-18 10:11:43,BSG_163,successful,0 days 00:44:00
49,CUST15,2023-05-18 15:27:23,2023-05-18 15:58:23,BSG_276,unsuccessful reservation,0 days 00:31:00
50,CUST2,2023-05-18 14:26:15,2023-05-18 14:44:15,BSG_86,successful,0 days 00:18:00
51,CUST4,2023-05-18 15:05:11,2023-05-18 15:30:11,BSG_36,unsuccessful reservation,0 days 00:25:00
52,CUST10,2023-05-18 09:42:46,2023-05-18 10:04:46,BSG_273,unsuccessful reservation,0 days 00:22:00
53,CUST4,2023-05-18 02:24:07,2023-05-18 03:02:07,BSG_243,unsuccessful reservation,0 days 00:38:00
54,CUST4,2023-05-18 20:26:10,2023-05-18 20:38:10,BSG_92,successful,0 days 00:12:00
55,CUST11,2023-05-18 10:53:21,2023-05-18 11:00:21,BSG_153,unsuccessful reservation,0 days 00:07:00
56,CUST12,2023-05-18 23:52:21,2023-05-19 00:21:21,BSG_217,unsuccessful reservation,0 days 00:29:00
57,CUST6,2023-05-18 01:30:52,2023-05-18 01:39:52,BSG_343,unsuccessful reservation,0 days 00:09:00
58,CUST9,2023-05-18 14:16:37,2023-05-18 14:43:37,BSG_19,unsuccessful reservation,0 days 00:27:00
59,CUST10,2023-05-18 05:18:10,2023-05-18 05:47:10,BSG_71,successful,0 days 00:29:00
60,CUST9,2023-05-18 21:43:57,2023-05-18 22:16:57,BSG_38,unsuccessful reservation,0 days 00:33:00
61,CUST12,2023-05-18 23:54:21,2023-05-18 23:59:21,BSG_38,unsuccessful reservation,0 days 00:05:00
62,CUST15,2023-05-18 11:34:06,2023-05-18 11:42:06,BSG_34,successful,0 days 00:08:00
63,CUST13,2023-05-18 02:48:01,2023-05-18 02:53:01,BSG_117,unsuccessful reservation,0 days 00:05:00
64,CUST16,2023-05-18 05:32:47,2023-05-18 06:00:47,BSG_145,unsuccessful reservation,0 days 00:28:00
65,CUST13,2023-05-18 23:05:29,2023-05-18 23:12:29,BSG_313,unsuccessful reservation,0 days 00:07:00
66,CUST12,2023-05-18 09:02:59,2023-05-18 09:41:59,BSG_76,unsuccessful reservation,0 days 00:39:00
67,CUST10,2023-05-18 19:23:38,2023-05-18 19:32:38,BSG_185,successful,0 days 00:09:00
68,CUST5,2023-05-18 21:39:58,2023-05-18 22:18:58,BSG_331,unsuccessful reservation,0 days 00:39:00
69,CUST1,2023-05-18 12:57:50,2023-05-18 13:30:50,BSG_247,successful,0 days 00:33:00
70,CUST5,2023-05-18 23:17:01,2023-05-18 23:52:01,BSG_109,unsuccessful reservation,0 days 00:35:00
71,CUST10,2023-05-18 18:26:03,2023-05-18 19:03:03,BSG_225,unsuccessful reservation,0 days 00:37:00
72,CUST10,2023-05-18 00:40:57,2023-05-18 01:16:57,BSG_93,successful,0 days 00:36:00
73,CUST15,2023-05-18 06:53:53,2023-05-18 07:33:53,BSG_292,unsuccessful reservation,0 days 00:40:00
74,CUST6,2023-05-18 01:46:55,2023-05-18 01:51:55,BSG_2,unsuccessful reservation,0 days 00:05:00
75,CUST10,2023-05-18 03:48:52,2023-05-18 04:13:52,BSG_74,unsuccessful reservation,0 days 00:25:00
76,CUST8,2023-05-18 03:10:59,2023-05-18 03:48:59,BSG_97,successful,0 days 00:38:00
77,CUST14,2023-05-18 15:14:55,2023-05-18 15:48:55,BSG_343,unsuccessful reservation,0 days 00:34:00
78,CUST11,2023-05-18 20:07:19,2023-05-18 20:14:19,BSG_223,successful,0 days 00:07:00
79,CUST10,2023-05-18 12:15:50,2023-05-18 12:26:50,BSG_116,unsuccessful reservation,0 days 00:11:00
80,CUST2,2023-05-18 01:47:07,2023-05-18 02:29:07,BSG_85,unsuccessful reservation,0 days 00:42:00
81,CUST5,2023-05-18 21:28:12,2023-05-18 21:47:12,BSG_103,unsuccessful reservation,0 days 00:19:00
82,CUST5,2023-05-18 08:37:54,2023-05-18 09:16:54,BSG_98,successful,0 days 00:39:00
83,CUST2,2023-05-18 01:53:27,2023-05-18 02:07:27,BSG_89,unsuccessful reservation,0 days 00:14:00
84,CUST2,2023-05-18 02:57:50,2023-05-18 03:26:50,BSG_347,successful,0 days 00:29:00
85,CUST6,2023-05-18 03:03:55,2023-05-18 03:26:55,BSG_322,successful,0 days 00:23:00
86,CUST7,2023-05-18 03:26:51,2023-05-18 03:46:51,BSG_114,unsuccessful reservation,0 days 00:20:00
87,CUST5,2023-05-18 08:12:25,2023-05-18 08:33:25,BSG_169,successful,0 days 00:21:00
88,CUST14,2023-05-18 04:11:50,2023-05-18 04:46:50,BSG_338,successful,0 days 00:35:00
89,CUST7,2023-05-18 19:56:36,2023-05-18 20:09:36,BSG_270,successful,0 days 00:13:00
90,CUST15,2023-05-18 14:39:47,2023-05-18 14:46:47,BSG_104,successful,0 days 00:07:00
91,CUST13,2023-05-18 10:06:20,2023-05-18 10:32:20,BSG_141,unsuccessful reservation,0 days 00:26:00
92,CUST11,2023-05-18 13:29:17,2023-05-18 13:38:17,BSG_32,unsuccessful reservation,0 days 00:09:00
93,CUST4,2023-05-18 01:48:14,2023-05-18 02:00:14,BSG_333,unsuccessful reservation,0 days 00:12:00
94,CUST13,2023-05-18 11:53:45,2023-05-18 12:09:45,BSG_229,unsuccessful reservation,0 days 00:16:00
95,CUST15,2023-05-18 04:27:15,2023-05-18 04:42:15,BSG_227,successful,0 days 00:15:00
96,CUST1,2023-05-18 09:16:46,2023-05-18 09:40:46,BSG_18,unsuccessful reservation,0 days 00:24:00
97,CUST8,2023-05-18 02:32:58,2023-05-18 02:46:58,BSG_48,unsuccessful reservation,0 days 00:14:00
98,CUST4,2023-05-18 22:16:56,2023-05-18 22:55:56,BSG_14,unsuccessful reservation,0 days 00:39:00
99,CUST8,2023-05-18 07:59:22,2023-05-18 08:11:22,BSG_12,unsuccessful reservation,0 days 00:12:00
100,CUST16,2023-05-18 19:10:10,2023-05-18 19:15:10,BSG_77,successful,0 days 00:05:00
101,CUST15,2023-05-18 20:13:40,2023-05-18 20:45:40,BSG_14,unsuccessful reservation,0 days 00:32:00
102,CUST10,2023-05-18 17:49:33,2023-05-18 18:13:33,BSG_75,unsuccessful reservation,0 days 00:24:00
